genres,original_title,overview,ratings,votes,overview_new
Drama  Romance,in embryo,"Sean, a lone rider and drug dealer, is trapped in a world of sleaze-bags and easy women - until he meets Lilly - a mysterious beauty and soul mate. Yet, what was supposed to be a new beginning for them, turns out to be a fatal journey.",6.3,48,"sean, lone rider drug dealer, trapped world sleaze-bags easy woman meet lilly mysterious beauty soul mate. yet, supposed new beginning them, turn fatal journey."
Thriller,kaleidoscope,A psychological thriller about the destructive relationship between a middle-aged man and his mother.,5.8,947,psychological thriller destructive relationship middle-aged man mother.
Drama,the receptionist,"'The Receptionist' is a film based on an illegal massage parlour in London, and follows the lives of the employees and clients as seen through the eyes of a Taiwanese graduate employed as a receptionist.",6.8,186,"'the receptionist' film based illegal massage parlour london, follows life employee client seen eye taiwanese graduate employed receptionist."
Drama  Sci-Fi  Thriller,the vanished,"When patrolling his ranch with the help of his father, Jackson accidentally kills an illegal immigrant. He flees south of the border to escape the police and soon falls in love with the land.",5.6,8,"patrolling ranch help father, jackson accidentally kill illegal immigrant. flees south border escape police soon fall love land."
Action  Biography  Drama,ignacio de loyola,"'If you could hear the voice of God, would you want to keep it secret?' A historical drama based on the memoirs of St. Ignatius of Loyola, founder of the Jesuit order. This is the story of ...                See full summary »",5.8,413,"'if could hear voice god, would want keep secret?' historical drama based memoir st. ignatius loyola, founder jesuit order. story ... see full summary »"
Horror,the obsidian curse,"Blair Jensen, a young mother, gets released out of prison after being arrested on multiple drug charges one year earlier. On the day of the release, Blair received shocking news that her ...                See full summary »",3.8,55,"blair jensen, young mother, get released prison arrested multiple drug charge one year earlier. day release, blair received shocking news ... see full summary »"
Drama,grandma's house,"A teenager and her step-brothers are forced to move in with Grandma. They learn the true meaning of love, faith, and family through the strict rules she imposes, and devotion she displays as the extended family has its ups and downs.",6.1,141,"teenager step-brothers forced move grandma. learn true meaning love, faith, family strict rule imposes, devotion display extended family ups downs."
Horror  Mystery  Thriller,the charnel house,A long abandoned slaughterhouse is transformed into modern lofts in a re-gentrified urban neighborhood. Soon after tenants move in they are tormented by a dark secret that has been trapped in the building for over 30 years.,4.4,1154,long abandoned slaughterhouse transformed modern loft re-gentrified urban neighborhood. soon tenant move tormented dark secret trapped building 30 years.
Thriller,de premier,"The Belgian prime minister is kidnapped. If he wants to be released, he must murder the American president.",6.2,2489,"belgian prime minister kidnapped. want released, must murder american president."
Adventure  Family,lea to the rescue,"Born for adventure, Lea Clark heads deep into the Brazilian rainforest, where her most exciting story awaits.",5.2,300,"born adventure, lea clark head deep brazilian rainforest, exciting story awaits."
Action  Drama  Thriller,blue jay,A couple hiking Mount Whitney runs into a group of mountain men who develop a dark obsession with the young woman.,4.6,192,couple hiking mount whitney run group mountain men develop dark obsession young woman.
Comedy  Horror  Thriller,a beginner's guide to snuff,"""A Beginners Guide To Snuff"" is a pitch black comedy thriller in the vein of early Coen Brothers films.",4.9,343,"""a beginner guide snuff"" pitch black comedy thriller vein early coen brother films."
Horror  Thriller,bleed,"It seemed perfect - a new house, a new marriage, a child soon to be born. But when Sarah and Matt invite their friends to celebrate, the situation turns deadly as they enter a burned-out prison on a ghost hunt.",3.5,1591,"seemed perfect new house, new marriage, child soon born. sarah matt invite friend celebrate, situation turn deadly enter burned-out prison ghost hunt."
Drama  Musical  Romance,the dust storm,"On a business trip to Nashville, Brennan finds himself reunited with the ""Girl"" who had previously broken his heart. Now, for one weekend in the city's music scene, a past and present romance will be reborn and challenged.",5.8,480,"business trip nashville, brennan find reunited ""girl"" previously broken heart. now, one weekend city's music scene, past present romance reborn challenged."
Action  Drama  War,heroes don't come home,"Deep in the woods of Maine, a broken promise made after the September 11th attacks forces two friends to confront the teenagers they were and the men they've become.",5.2,185,"deep wood maine, broken promise made september 11th attack force two friend confront teenager men they've become."
Action  Horror,taryn barker: demon hunter,"Detective Ray Beckett seeks the aid of homicide suspect, Taryn Barker, in rescuing his daughter from a demonic force.",3.7,416,"detective ray beckett seek aid homicide suspect, taryn barker, rescuing daughter demonic force."
Thriller,and then i was french,"Sensitive wallflower Cara exists in her humdrum life until the appearance of charismatic Jay unlocks powerful desires within her. When Jay's beautiful French lover arrives, Cara's journey ...                See full summary »",5.4,75,"sensitive wallflower cara exists humdrum life appearance charismatic jay unlocks powerful desire within her. jay's beautiful french lover arrives, cara's journey ... see full summary »"
Action  Comedy  Romance,how we met,A sheltered young loser goes on the worst blind date ever when he and his date must cover up the accidental murder of a crooked cop.,6.1,83,sheltered young loser go worst blind date ever date must cover accidental murder crooked cop.
Drama  Horror  Thriller,cage,"Seattle call girl Gracie Blake wakes up in a cage, in a warehouse - somewhere in America.",3.6,313,"seattle call girl gracie blake wake cage, warehouse somewhere america."
Action  Thriller,warrior savitri,"A modern day adaptation of the legendary fable of Savitri, Satyavaan and Yamaraj from Mahabharata, one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband.",4.1,292,"modern day adaptation legendary fable savitri, satyavaan yamaraj mahabharata, one major sanskrit epic ancient india. modern day savitri adept martial art anything save husband."
Fantasy  Horror,blood of the tribades,"2000 years after the great vampire Bathor established the village of Bathory, superstition and religious violence take over as the men and women battle for control. When the men are ...                See full summary »",4.6,289,"2000 year great vampire bathor established village bathory, superstition religious violence take men woman battle control. men ... see full summary »"
Comedy  Drama,welcome to the men's group,A men's support group descends into chaos when longstanding conflicts threaten the trust between the men.,6.0,48,men's support group descends chaos longstanding conflict threaten trust men.
Drama  Music  Romance,a remarkable life,Chelsea helps Leny overcome his life from a down-spin as his reality comes crashing down after he discovers his wife in bed with another woman .,4.5,124,chelsea help leny overcome life down-spin reality come crashing discovers wife bed another woman
Action  Comedy  Crime,compadres,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole $10 million from Santos.",4.8,951,"former cop garza seek revenge santos, crime lord framed him, form unlikely team young hacker successfully stole $10 million santos."
Comedy  Horror,smothered,"Five horror icons ditch an unprofitable autograph signing convention to earn some extra cash haunting an RV park, but find themselves being haunted instead.",3.6,359,"five horror icon ditch unprofitable autograph signing convention earn extra cash haunting rv park, find haunted instead."
Comedy  Sci-Fi  Thriller,igirlfriend,"A teen comedy about a nerdy teenager who creates an iPhone app to be his girlfriend. When she miraculously comes to life, things go hilariously wrong, and she tries to kill him.",2.8,235,"teen comedy nerdy teenager creates iphone app girlfriend. miraculously come life, thing go hilariously wrong, try kill him."
Family  Sci-Fi,time toys,A group of middle school kids stumble upon a chest full of incredible toys from the future. The discovery takes them on an adventure using their newfound toys to save their neighborhood and...                See full summary »,4.7,232,group middle school kid stumble upon chest full incredible toy future. discovery take adventure using newfound toy save neighborhood and... see full summary »
Comedy,euroclub,"Three American guys who perpetually strike out with the ladies travel to Europe and embark on an adventure through the continent filled with drinking, dancing, and partying while dodging ...                See full summary »",3.8,128,"three american guy perpetually strike lady travel europe embark adventure continent filled drinking, dancing, partying dodging ... see full summary »"
Horror  Sci-Fi  Thriller,let's be evil,A vision of augmented reality.,4.2,6260,vision augmented reality.
Drama,the very private work of sister k,"Accused of grave transgressions, one young nun battles the oldest of beliefs as the true nature of sexuality is put on trial. A tale fusing rapid-fire chamber-drama with fearless acting and relentless cinematic appeal.",6.9,90,"accused grave transgressions, one young nun battle oldest belief true nature sexuality put trial. tale fusing rapid-fire chamber-drama fearless acting relentless cinematic appeal."
Drama  Horror  Sci-Fi,alienate,A man separated from his wife fights to return home while the Earth falls to invasion.,2.7,749,man separated wife fight return home earth fall invasion.
Comedy  Crime  Drama,smoking guns,"On a Friday afternoon in North London, Jack decides to bet £250 on a horse win treble which, if all three horses win, would net him and his friends a fortune.",5.6,1057,"friday afternoon north london, jack decides bet £250 horse win treble which, three horse win, would net friend fortune."
Sci-Fi  Thriller,shortwave,"A modern and unrelentingly tense psychological thriller based on a theory of the origins of shortwave radio frequencies, Shortwave is an unnerving reminder that some stones are best left unturned.",4.3,1360,"modern unrelentingly tense psychological thriller based theory origin shortwave radio frequencies, shortwave unnerving reminder stone best left unturned."
Action  Horror  Sci-Fi,day of reckoning,"Fifteen years ago evil creatures from the underworld plagued the Earth with the intent of eliminating mankind. Dubbed the Day of Reckoning by survivors of the hellish holocaust, warriors of mankind again must battle the forces of darkness.",3.4,859,"fifteen year ago evil creature underworld plagued earth intent eliminating mankind. dubbed day reckoning survivor hellish holocaust, warrior mankind must battle force darkness."
Thriller,angel of decay,Follows the true case of the infamous serial killer in the 1970s.,5.8,77,follows true case infamous serial killer 1970s.
Comedy  Horror,attack of the lederhosen zombies,"Zombie action in the Alps: a group of young snowboarder is stuck in a remote mountain ski resort, where an all-night aprés-ski party soon turns into a hellish nightmare of zombie mayhem.",4.5,1549,"zombie action alps: group young snowboarder stuck remote mountain ski resort, all-night aprés-ski party soon turn hellish nightmare zombie mayhem."
Comedy  Romance,love addict,"A womanizing attorney is unable to have sex after a hypnotherapy session to quit smoking goes awry and he seeks help from one of his clients, an uptight psychiatrist, who teaches him that there is more to women than just sex.",5.1,45,"womanizing attorney unable sex hypnotherapy session quit smoking go awry seek help one clients, uptight psychiatrist, teach woman sex."
Drama  Romance,i roza tis smyrnis,"During the volatile 1987 Aegean crisis, a collector sets out to the memory-ridden coast of Asia Minor and unearths a haunting mystery dating back to the Great Fire of Smyrna. Can a blood sacrifice appease decades of pain and suffering?",6.7,1575,"volatile 1987 aegean crisis, collector set memory-ridden coast asia minor unearths haunting mystery dating back great fire smyrna. blood sacrifice appease decade pain suffering?"
Adventure  Drama  Family,against the wild 2: survive the serengeti,Two kids and their dog must use all their skills to survive in the African bush after a plane crash.,4.6,454,two kid dog must use skill survive african bush plane crash.
Drama  Family  Romance,free state,A random act of kindness sparks a forbidden love affair between a white girl and an Indian man during the Apartheid system in South Africa.,6.7,78,random act kindness spark forbidden love affair white girl indian man apartheid system south africa.
Drama,in the radiant city,A man who testified against his brother returns to his rural Kentucky hometown twenty years later to face his fractured family.,5.6,176,man testified brother return rural kentucky hometown twenty year later face fractured family.
Romance,comfort,A late night courier boy agrees to pick up the feisty daughter of an important client. The two youngsters form a close connection and spend two nights exploring LA's local food scene while their romance blossoms.,6.5,326,late night courier boy agrees pick feisty daughter important client. two youngster form close connection spend two night exploring la's local food scene romance blossoms.
Drama  Family  Western,boonville redemption,You can't kill a lie. It will find you.,6.1,55,can't kill lie. find you.
Action  Drama  Romance,remarkable shades of gay,"Remarkable Shades of Gay is a compilation of nine short films shot by award winning LGBTQ director William Branden Blinn between 2008 and 2014. Included in the compilation are ""Thirteen or ...                See full summary »",7.5,31,"remarkable shade gay compilation nine short film shot award winning lgbtq director william branden blinn 2008 2014. included compilation ""thirteen ... see full summary »"
Comedy  Romance,in-lawfully yours,A delightful romantic comedy about entangled in-laws finding new paths and roles with each other.,5.9,1679,delightful romantic comedy entangled in-law finding new path role other.
Drama  War,my honor was loyalty,"Untersharführer Ludwig Herckel (Leone Frisa), is a devoted and patriotic soldier of the elite 1st SS Panzer Division Leibstandarte SS Adolf Hitler. As the action begins, we follow a small ...                See full summary »",4.4,1119,"untersharführer ludwig herckel (leone frisa), devoted patriotic soldier elite 1st s panzer division leibstandarte s adolf hitler. action begins, follow small ... see full summary »"
Comedy  Drama,angels in stardust,"An imaginative teenage girl, living in a mystical and dangerous community built on a deserted drive-in movie lot along the Texas/Oklahoma border, struggles to realize her potential, and escape the world she was born into.",5.3,554,"imaginative teenage girl, living mystical dangerous community built deserted drive-in movie lot along texas/oklahoma border, struggle realize potential, escape world born into."
Drama  Sci-Fi,we've forgotten more than we ever knew,"A Man and a Woman wander through a hostile wilderness in a far-away world. One day, they stumble upon a mysterious set of Structures, which will complicate their lives both for good and ill.",5.0,460,"man woman wander hostile wilderness far-away world. one day, stumble upon mysterious set structures, complicate life good ill."
Drama  Thriller,inconceivable,A woman interprets a kiss at a high school reunion as an invitation to follow her ex across the country and supplant his current family.,5.0,214,woman interprets kiss high school reunion invitation follow ex across country supplant current family.
Comedy,gangsters gamblers geezers,"Gangsters, Gamblers and Geezers is story about two lovable losers, Krish and Lee who get fired from their call centre jobs. After spending all their money in a crazy month of partying, they...                See full summary »",5.0,743,"gangsters, gambler geezer story two lovable losers, krish lee get fired call centre jobs. spending money crazy month partying, they... see full summary »"
Comedy  Drama  Musical,dance camp,"When Hunter gets sent to a dance camp, he meets the girl of his dreams and together they attempt to beat out rival Lance in the camp's competition.",4.1,466,"hunter get sent dance camp, meet girl dream together attempt beat rival lance camp's competition."
Action,id2: shadwell army,"A young British Asian, Mo is a fast-rising police officer who goes under cover infiltrating Shadwell's resurgent hooligan element, who are fired up by Shadwells's takeover by a Russian ...                See full summary »",4.4,455,"young british asian, mo fast-rising police officer go cover infiltrating shadwell's resurgent hooligan element, fired shadwells's takeover russian ... see full summary »"
Action  Horror  Thriller,the last heist,A bank Robbery goes terribly wrong when one of the hostages turns out to be a wanted serial killer,3.5,2488,bank robbery go terribly wrong one hostage turn wanted serial killer
Comedy  Horror  Romance,are we not cats,Two strangers spark romance through their unusual habit.,5.8,675,two stranger spark romance unusual habit.
Drama,äpärä,"A fatal collision that follows after two lovers, Simo and Jonna, discover that his mother and her father might have had an affair in the past.",6.3,40,"fatal collision follows two lovers, simo jonna, discover mother father might affair past."
Comedy  Horror,witchcraft 15: blood rose,"Rose, a legacy witch, becomes a member of a local coven. Seductress Sharon uses her own powers to enter Roses' body and mind. She uses Rose unwillingly to steal people's souls. Her ultimate...                See full summary »",2.6,95,"rose, legacy witch, becomes member local coven. seductress sharon us power enter roses' body mind. us rose unwillingly steal people's souls. ultimate... see full summary »"
Comedy  Drama,people you may know,"'People You May Know' tells the story of four friends in their 40s in Los Angeles. They will have to confront a new reality when Delia gets pregnant from Joe, the best-friend who happens to be gay.",5.6,904,"'people may know' tell story four friend 40 los angeles. confront new reality delia get pregnant joe, best-friend happens gay."
Comedy,my dead boyfriend,"Mary's life has been defined by a string of temp jobs and a half-hearted attempt to become a writer, but all that changes when she comes home to find her couch potato boyfriend dead in front of the TV set.",4.7,483,"mary's life defined string temp job half-hearted attempt become writer, change come home find couch potato boyfriend dead front tv set."
Drama  Romance,sweet boy,"Nack is a 17 year old boy whose life focuses only on studying. Stepping into the last year of high school, he begins to feel lonely and pressured. As graduation and entrance examination ...                See full summary »",6.1,126,"nack 17 year old boy whose life focus studying. stepping last year high school, begin feel lonely pressured. graduation entrance examination ... see full summary »"
Comedy,is that a gun in your pocket?,"If there's one thing that the men of Rockford Texas love as much as their women, it's their guns. But when a gun incident at a neighborhood school spurs one stay at home mom, Jenna (Andrea ...                See full summary »",5.3,1705,"there's one thing men rockford texas love much women, guns. gun incident neighborhood school spur one stay home mom, jenna (andrea ... see full summary »"
Adventure  Comedy  Horror,the haunted house on kirby road,A group of 20-somethings set out to discover if an urban myth of a haunted house holds any truth.,3.2,326,group 20-somethings set discover urban myth haunted house hold truth.
Drama  Romance,boy bye,"Veronica Love seems to have it all...she's smart, sassy and sexy and has a career as one of the most successful real estate entrepreneurs in California. Affectionately known as Love by her ...                See full summary »",5.4,390,"veronica love seems all...she's smart, sassy sexy career one successful real estate entrepreneur california. affectionately known love ... see full summary »"
Comedy  Drama,rainbow time,"A developmentally delayed 40 year old man named Shonzi is sent to live with his brother Todd. But when Shonzi develops a crush on Todd's girlfriend Lindsay, he threatens to reveal past secrets that could ultimately tear the couple apart.",5.9,608,"developmentally delayed 40 year old man named shonzi sent live brother todd. shonzi develops crush todd's girlfriend lindsay, threatens reveal past secret could ultimately tear couple apart."
Action  Romance  Thriller,enemy within,A sadomasochistic Killer is out to murder a beautiful dancer. Drugs seduction and hate fill the screen. But Concetta the dancer still believes that love conquers all.,3.0,31,sadomasochistic killer murder beautiful dancer. drug seduction hate fill screen. concetta dancer still belief love conquers all.
Crime  Drama,creed,"Frank, confused of his next step in life is tired of living his life as a thief and using women. He finds himself matched by an older women whom gets him more than he gets himself, but ...                See full summary »",6.2,50,"frank, confused next step life tired living life thief using women. find matched older woman get get himself, ... see full summary »"
Thriller,crow,"A wealthy Developer tries to remove settlers from his newly acquired land, which leads to dire consequences.",4.4,181,"wealthy developer try remove settler newly acquired land, lead dire consequences."
Drama  Family  Thriller,forgiven,"When Lieutenant Morgan (Kevin Sorbo) and his armed force arrive on the scene of a church hostage situation, James (Casey Fuller) weighs his options for an escape while Elizabeth (Jenn Gotzon) makes it her mission to save his life.",3.8,79,"lieutenant morgan (kevin sorbo) armed force arrive scene church hostage situation, james (casey fuller) weighs option escape elizabeth (jenn gotzon) make mission save life."
Horror,devil's domain,"After becoming the victim of vicious cyber bullies, Lisa makes a deal with the devil to exact revenge on her tormenters.",3.4,328,"becoming victim vicious cyber bullies, lisa make deal devil exact revenge tormenters."
Horror  Thriller,recovery,"The night before their high school graduation, Jessie and her friends are guided by a 'Find My iPhone' app to recover her lost device from a house whose demented tenants are hell bent on making her a flesh and blood member of the family.",4.5,1722,"night high school graduation, jessie friend guided 'find iphone' app recover lost device house whose demented tenant hell bent making flesh blood member family."
Comedy,the weekend,"Three friends discover £100,000 and use it to go on a spending spree and throw a huge party, unaware that it belongs to a gangster.",4.6,436,"three friend discover £100,000 use go spending spree throw huge party, unaware belongs gangster."
Horror,fear of silent hill,"Fear of Silent hill is a movie based mostly on the life of the abused 14-year old girl Alessa, who on some times become friends with the young girl Alma Wade who in some ways is very ...                See full summary »",4.4,58,"fear silent hill movie based mostly life abused 14-year old girl alessa, time become friend young girl alma wade way ... see full summary »"
Comedy,amstardam,"Jack comes to Amsterdam to find his father and, through a momentary magical encounter, finds the secret weapon that could turn around his father's ailing marijuana coffee shop.",4.8,954,"jack come amsterdam find father and, momentary magical encounter, find secret weapon could turn around father's ailing marijuana coffee shop."
Comedy  Drama  Sport,the rack pack,The story of the 1980s snooker rivalry between the flamboyant Alex Higgins and the methodical Steve Davis.,7.1,1126,story 1980s snooker rivalry flamboyant alex higgins methodical steve davis.
Comedy  Drama  Family,the remake,Two actors who originally hooked up during filming in their early 20's find love can be even more complicated the second time around when reunited to star in an updated remake of their earlier film.,6.0,66,two actor originally hooked filming early 20's find love even complicated second time around reunited star updated remake earlier film.
Crime  Drama  Thriller,5150,"When a vengeful, mentally ill stepsister blackmails three successful women they commit a horrific act to protect the secret of how they gained their fame and fortunes.",4.0,262,"vengeful, mentally ill stepsister blackmail three successful woman commit horrific act protect secret gained fame fortunes."
Crime  Drama  Mystery,the harrow,"Miller lives alone in an abandoned Alabama slaughterhouse. His memory and sanity are shattered and his only company is the spirit of his lover, who was murdered a decade ago. Ruth arrives, ...                See full summary »",4.5,285,"miller life alone abandoned alabama slaughterhouse. memory sanity shattered company spirit lover, murdered decade ago. ruth arrives, ... see full summary »"
Drama  Fantasy  History,the other side of the mirror,"In 1905, a teenage Alice has just moved to the Pacific Northwest. She follows a mysterious man down a rabbit hole, leading her into Wonderland, a dark and curious world inhabited by ...                See full summary »",2.2,598,"1905, teenage alice moved pacific northwest. follows mysterious man rabbit hole, leading wonderland, dark curious world inhabited ... see full summary »"
Drama,indivisibili,"Daisy and Violet are twin sisters on the verge of turning 18. They are blessed with beautiful voices and are sought after to sing at weddings, communions and baptisms. Their real draw is ...                See full summary »",6.7,1192,"daisy violet twin sister verge turning 18. blessed beautiful voice sought sing weddings, communion baptisms. real draw ... see full summary »"
Horror,jungle trap,"In 1990, exploitation auteur James Bryan pulled out his video camera and made a decapitation-fueled horror movie about a jungle hotel haunted by kill-crazy ghosts in loincloths. The team at...                See full summary »",5.4,52,"1990, exploitation auteur james bryan pulled video camera made decapitation-fueled horror movie jungle hotel haunted kill-crazy ghost loincloths. team at... see full summary »"
Thriller,below the surface,Cameron thought she had the perfect life with a perfect job and a perfect fiancé until he becomes a suspect in a murder case.,4.4,211,cameron thought perfect life perfect job perfect fiancé becomes suspect murder case.
Comedy  Drama  Family,elbow grease,Elbow Grease is a sincere look into the humor and craziness that is the everyday life of the Barnes family as they come to terms with each other. Billy and Ellie's marriage may be on the ...                See full summary »,8.7,30,elbow grease sincere look humor craziness everyday life barnes family come term other. billy ellie's marriage may ... see full summary »
Adventure  Horror  Thriller,land of smiles,An American tourist unknowingly becomes an object of obsession as she searches for her kidnapped best friend in Thailand.,4.5,1105,american tourist unknowingly becomes object obsession search kidnapped best friend thailand.
Animation,chaar sahibzaade 2: rise of banda singh bahadur,A profound and courageous story on how Guru Grace changed Banda Singh Bahadur in and out and enabled him to lead Sikh army to Punjab province to establish righteousness and equality in the ...                See full summary »,8.7,640,profound courageous story guru grace changed banda singh bahadur enabled lead sikh army punjab province establish righteousness equality ... see full summary »
Drama  Mystery  Thriller,turnabout,"A troubled man survives a suicide attempt. He calls an old friend to rescue him in the middle of the night. Their journey is just beginning, and by daybreak, a tragedy will surface.",6.1,3006,"troubled man survives suicide attempt. call old friend rescue middle night. journey beginning, daybreak, tragedy surface."
Drama,2 cool 2 be 4gotten,"Felix is a friendless achiever in high school whose life changes after the arrival of the half-American Snyder brothers, entangling him in their dark ambitions.",6.7,247,"felix friendless achiever high school whose life change arrival half-american snyder brothers, entangling dark ambitions."
Comedy  Drama,almost paris,"In the wake of the mortgage-lending crisis, a former banker returns to his hometown. Faced with his family and childhood friends, our hero learns to show up and give back to those he loves in ways that are priceless.",7.0,30,"wake mortgage-lending crisis, former banker return hometown. faced family childhood friends, hero learns show give back love way priceless."
Thriller,cam-girl,"A Thriller that revolves around Gessica, a 23-year-old web cam stripper who is pushed to the limit when held hostage by an unknown gunman.",4.4,69,"thriller revolves around gessica, 23-year-old web cam stripper pushed limit held hostage unknown gunman."
Comedy  Drama  Horror,confessions,"Ten gay men confess their secrets in the collection of short pieces, some funny, some shocking, some horrifying, all riveting.",5.3,98,"ten gay men confess secret collection short pieces, funny, shocking, horrifying, riveting."
Drama,on the road,An intimate look at life on the road for the band Wolf Alice as they tour Great Britain.,5.8,178,intimate look life road band wolf alice tour great britain.
Action  Horror  Thriller,krampus: the devil returns,"Five years after the murder of his wife and disappearance of his daughter, former police officer Jeremy Duffin is brought back to help in the hunt for a yuletide monster that punishes ...                See full summary »",1.6,496,"five year murder wife disappearance daughter, former police officer jeremy duffin brought back help hunt yuletide monster punishes ... see full summary »"
Drama  Horror  Mystery,the offering,"When young and successful reporter Jamie finds out that her sister has died in mysterious circumstances, she travels to Singapore to uncover the truth. There, she discovers multiple deaths ...                See full summary »",3.8,1829,"young successful reporter jamie find sister died mysterious circumstances, travel singapore uncover truth. there, discovers multiple death ... see full summary »"
Horror,paranormal sex tape,"Based on real events that occurred in Europe in 2010. There are over 25,000 demonic possessions reported each year - many of those claim to be possessed during sexual intercourse. After a ...                See full summary »",1.6,156,"based real event occurred europe 2010. 25,000 demonic possession reported year many claim possessed sexual intercourse. ... see full summary »"
Comedy  Drama  History,timeless,"One day in 1932, Arnold Richter disappears, only to re-appear moments later in a totalitarian future. And that's only the beginning of a travel through time, space and emotion, exposing the...                See full summary »",4.1,43,"one day 1932, arnold richter disappears, re-appear moment later totalitarian future. that's beginning travel time, space emotion, exposing the... see full summary »"
Drama,west virginia stories,"Three stories examining what it means to live, find connection, deal with trauma, and do more than just exist, in the rural landscape of small mining town in West Virginia.",6.7,466,"three story examining mean live, find connection, deal trauma, exist, rural landscape small mining town west virginia."
Action  Drama  Romance,teraa surroor,"Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being ...                See full summary »",2.6,832,"tara wadia (farah karimaee), singer girlfriend gangster raghu (himesh reshammiya) life mother (shernaz patel). go dublin get detained ... see full summary »"
Drama,the apostle peter: redemption,"Tormented by his denial of Christ, Peter spent his life attempting to atone for his failures. Now as he faces certain death at the hand of Nero, will he falter again, his weakness betray ...                See full summary »",5.7,346,"tormented denial christ, peter spent life attempting atone failures. face certain death hand nero, falter again, weakness betray ... see full summary »"
Action  Adventure  Comedy,bigfoot vs. zombies,"A scientist creates a toxic cocktail that slowly leaks into the local population, creating flesh-eating zombies - and only one creature of legend can stop the growing hordes of the undead.",2.2,250,"scientist creates toxic cocktail slowly leak local population, creating flesh-eating zombie one creature legend stop growing horde undead."
Horror  Mystery  Thriller,brackenmore,"The close-knit community of Brackenmore is harboring a secret. After the untimely death of an uncle she never knew she had, Kate (Sophie Hopkins) is forced to return to her ancestral home, ...                See full summary »",4.2,281,"close-knit community brackenmore harboring secret. untimely death uncle never knew had, kate (sophie hopkins) forced return ancestral home, ... see full summary »"
Drama  History  Sport,modder en bloed,"Set during the Anglo Boer War, prisoners of war take a stand against their captors",6.5,215,"set anglo boer war, prisoner war take stand captor"
Comedy,white island,"Ex DJ Connor is making his way in London, when best friend Dex drags him back to Ibiza and has to rescue him from the seductive danger of the White Island.",4.3,230,"ex dj connor making way london, best friend dex drag back ibiza rescue seductive danger white island."
Adventure  Drama  Fantasy,hele sa hiwagang hapis,The search for the body of Andres Bonifacio.,7.4,255,search body andres bonifacio.
Drama,the death and life of otto bloom,"The chronicle of the life and great love of Otto Bloom, an extraordinary man who experiences time in reverse - passing backwards through the years only remembering the future.",6.2,187,"chronicle life great love otto bloom, extraordinary man experience time reverse passing backwards year remembering future."
Comedy  Drama  Romance,spin out,"When Ute driver Billy takes one risky car stunt too far, Lucy declares she is moving to the city - sending Billy into a spin.",4.7,507,"ute driver billy take one risky car stunt far, lucy declares moving city sending billy spin."
Drama,polaris,A psychologically traumatized war photographer is locked in a desperate struggle to protect her secrets and escape her inevitable return to the Middle East.,7.8,60,psychologically traumatized war photographer locked desperate struggle protect secret escape inevitable return middle east.
Crime  Drama  Thriller,gone by dawn,Three exotic dancers kidnap and torture the club-owner who raped one of them.,5.6,65,three exotic dancer kidnap torture club-owner raped one them.
Drama,sacred vow,"The couple, after a brief affair by him, he has decided to get back with his faithful wife but will it be too late? It may, but you should view the movie; it is not wise to divulge too much.",5.3,105,"couple, brief affair him, decided get back faithful wife late? may, view movie; wise divulge much."
Comedy  Romance,coffee house chronicles: the movie,"This film, based on the web series, features nine vignettes in the lives of LGBT people as they date and hook up in Los Angeles.",5.3,63,"film, based web series, feature nine vignette life lgbt people date hook los angeles."
Horror  Mystery,#screamers,"When an internet company decides to investigate a series of 'Screamer' videos, they are confronted with havoc and hell they could never expect.",4.3,986,"internet company decides investigate series 'screamer' videos, confronted havoc hell could never expect."
Comedy,the biggest game in town,Home game poker champ Atticus Cane is a dreamer. He and two friends put their life savings together and embark on a one -of -a kind poker adventure in search of a legendary card game. All ...                See full summary »,7.0,43,home game poker champ atticus cane dreamer. two friend put life saving together embark one -of -a kind poker adventure search legendary card game. ... see full summary »
Animation  Action  Comedy,bling,Will a 'bling' ring or the courage to save his city from an army of evil robots win the heart of Sam's childhood sweetheart?,4.5,647,'bling' ring courage save city army evil robot win heart sam's childhood sweetheart?
Comedy  Drama  Romance,vir altyd,"Childhood friends, Nina and Hugo chose different paths in life. Years later Hugo returns to his hometown, unbeknownst to him, the day before Nina's wedding. Events on the wedding day throw ...                See full summary »",6.2,384,"childhood friends, nina hugo chose different path life. year later hugo return hometown, unbeknownst him, day nina's wedding. event wedding day throw ... see full summary »"
Drama  Fantasy  Horror,lost creek,"As they approach the end of childhood, three elementary school kids must brave the woods on Halloween to face a monster born from their nightmares.",4.6,141,"approach end childhood, three elementary school kid must brave wood halloween face monster born nightmares."
Horror,edgar allan poe's lighthouse keeper,"Marooned on a remote peninsula and haunted by frightening specters, a young man must confront the grotesque denizens of the night, or heed the Lighthouse Keeper's cryptic warning to, 'Always keep a light burning!'",3.9,685,"marooned remote peninsula haunted frightening specters, young man must confront grotesque denizen night, heed lighthouse keeper's cryptic warning to, 'always keep light burning!'"
